airport_id,airport_name,city_name,latitude,longitude
HED,Herendeen Bay,"Herendeen, AK",55.80138889,-160.8991667
HES,Hermiston Municipal,"Hermiston, OR",45.82833333,-119.25916670000001
HEZ,Hardy-Anders Field Natchez-Adams County,"Natchez, MS",31.61361111,-91.29722222
HFD,Hartford Brainard,"Hartford, CT",41.73666667,-72.64944444
HFF,Mackall AAF,"Hoffman, NC",35.03666667,-79.4975
HGR,Hagerstown Regional-Richard A. Henson Field,"Hagerstown, MD",39.70861111,-77.72638889
HGZ,Hogatza Airport,"Hogatza, AK",66.19166667,-155.66888889999998
HHH,Hilton Head Airport,"Hilton Head, SC",32.22444444,-80.6975
HHR,Jack Northrop Field/Hawthorne Municipal,"Hawthorne, CA",33.92277778,-118.3352778
KS3,Hiawatha Municipal,"Hiawatha, KS",39.87916667,-95.52527778
HIB,Range Regional,"Hibbing, MN",47.38666667,-92.83888889
HIE,Mount Washington Regional,"Whitefield, NH",44.3675,-71.54583333
HIF,Hill AFB,"Ogden, UT",41.12388889,-111.97305559999998
HII,Lake Havasu City Airport,"Lake Havasu City, AZ",34.57111111,-114.35833329999998
HIK,Daniel K Inouye International,"Honolulu, HI",21.31777778,-157.9202778
HIO,Portland Hillsboro,"Hillsboro, OR",45.54222222,-122.95083329999999
HKA,Blytheville Municipal,"Blytheville, AR",35.94055556,-89.83083333
HKB,Healy River,"Healy, AK",63.8675,-148.9688889
HKP,Kaanapali Airport,"Kaanapali, HI",20.94583333,-156.69305559999998
HKS,Hawkins Field,"Jackson, MS",32.33472222,-90.2225
HKY,Hickory Regional,"Hickory, NC",35.74111111,-81.38944444
HLG,Wheeling Ohio County,"Wheeling, WV",40.175,-80.64638889
HLI,Hollister Municipal,"Hollister, CA",36.89333333,-121.41027779999999
HLM,Park Township,"Holland, MI",42.79583333,-86.16194444
HLN,Helena Regional,"Helena, MT",46.60666667,-111.98333329999998
HLO,Holbrook Municipal,"Holbrook, AZ",34.93861111,-110.14027779999999
HMN,Holloman AFB,"Alamogordo, NM",32.85194444,-106.10916670000002
HMS,Homeshore Airport,"Homeshore, AK",58.29444444,-135.34722219999998
HMT,Hemet-Ryan,"Hemet, CA",33.73388889,-117.0225
HNC,Billy Mitchell,"Hatteras, NC",35.23277778,-75.61777778
HNH,Hoonah Airport,"Hoonah, AK",58.09611111,-135.4088889
HNL,Daniel K Inouye International,"Honolulu, HI",21.31777778,-157.9202778
HNM,Hana Airport,"Hana, HI",20.79555556,-156.0144444
HNS,Haines Airport,"Haines, AK",59.24388889,-135.5236111
HOB,Lea County Regional,"Hobbs, NM",32.6875,-103.21722220000001
HOL,Holikachuk Airport,"Holikachuk, AK",62.91055556,-159.52777780000002
HOM,Homer Airport,"Homer, AK",59.645,-151.4858333
HON,Huron Regional,"Huron, SD",44.38527778,-98.22861111
HOP,Campbell AAF,"Hopkinsville, KY",36.66861111,-87.49611111
HOT,Memorial Field,"Hot Springs, AR",34.47805556,-93.09611111
HOU,William P Hobby,"Houston, TX",29.64555556,-95.27888889
HPB,Hooper Bay Airport,"Hooper Bay, AK",61.52388889,-166.1466667
HPN,Westchester County,"White Plains, NY",41.06694444,-73.7075
HPT,Hampton Municipal,"Hampton, IA",42.72361111,-93.22638889
HPV,Princeville,"Hanalei, HI",22.20916667,-159.44555559999998
HQM,Bowerman,"Hoquiam, WA",46.97111111,-123.93666670000002
HRL,Valley International,"Harlingen/San Benito, TX",26.22722222,-97.65527778
HRO,Boone County,"Harrison, AR",36.26138889,-93.15472222
HSH,Henderson Executive,"Las Vegas, NV",35.97277778,-115.1344444
HSI,Hastings Municipal,"Hastings, NE",40.60527778,-98.42777778
HSL,Huslia Airport,"Huslia, AK",65.69777778,-156.3513889
HSP,Ingalls Field,"Hot Springs, VA",37.95138889,-79.83388889
HST,Homestead ARB,"Homestead, FL",25.48861111,-80.38361111
HSV,Huntsville International-Carl T Jones Field,"Huntsville, AL",34.63722222,-86.775
HTH,Hawthorne Industrial,"Hawthorne, NV",38.545,-118.6325
HTO,East Hampton Airport,"East Hampton, NY",40.95944444,-72.25166667
HTS,Tri-State/Milton J. Ferguson Field,"Ashland, WV",38.36861111,-82.56027778
HUA,Redstone AAF,"Huntsville, AL",34.67861111,-86.68472222
HUC,Dr Hermenegildo Ortiz Quinones,"Humacao, PR",18.13805556,-65.80083333
HUF,Terre Haute Regional,"Terre Haute, IN",39.45055556,-87.30694444
HUL,Houlton International,"Houlton, ME",46.12472222,-67.79222222
HUM,Houma Terrebonne,"Houma, LA",29.56638889,-90.66055556
HUS,Hughes Airport,"Hughes, AK",66.03916667,-154.2647222
HUT,Hutchinson Regional,"Hutchinson, KS",38.06611111,-97.86055556
HVC,Hopkinsville-Christian County,"Hopkinsville, KY",36.85694444,-87.455
HVN,Tweed New Haven,"New Haven, CT",41.26388889,-72.88694444
HVR,Havre City-County,"Havre, MT",48.54305556,-109.76222220000001
HVS,Hartsville Regional,"Hartsville, SC",34.40305556,-80.11916667
HWD,Hayward Executive,"Hayward, CA",37.65888889,-122.12166670000002
HWI,Hawk Inlet Airport,"Hawk Inlet, AK",58.13333333,-134.75
HYA,Barnstable Municipal-Boardman/Polando Field,"Hyannis, MA",41.66944444,-70.28027778
HYG,Hydaburg Seaplane Base,"Hydaburg, AK",55.20666667,-132.8266667
HYL,Hollis Seaplane Base,"Hollis, AK",55.48194444,-132.64444440000003
HYR,Sawyer County,"Hayward, WI",46.02527778,-91.44305556
HYS,Hays Regional,"Hays, KS",38.84222222,-99.27305556
HZL,Hazleton Regional,"Hazleton, PA",40.98666667,-75.995
IA1,Shenandoah Municipal,"Shenandoah, IA",40.75166667,-95.41361111
IA2,Webster City Municipal,"Webster City, IA",42.43638889,-93.86888889
IA3,Red Oak Municipal,"Red Oak, IA",41.01083333,-95.25888889
IAB,McConnell AFB,"Wichita, KS",37.62305556,-97.2675
IAD,Washington Dulles International,"Washington, DC",38.9475,-77.46
IAG,Niagara Falls International,"Niagara Falls, NY",43.1075,-78.94583333
IAH,George Bush Intercontinental/Houston,"Houston, TX",29.98444444,-95.34138889
IAN,Bob Baker Memorial,"Kiana, AK",66.97583333,-160.4366667
ICT,Wichita Dwight D Eisenhower National,"Wichita, KS",37.65,-97.43305556
ICY,Icy Bay Airport,"Icy Bay, AK",59.96888889,-141.66166669999998
IDA,Idaho Falls Regional,"Idaho Falls, ID",43.51361111,-112.07083329999999
IDI,Indiana County,"Indiana, PA",40.63111111,-79.10166667
